open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1640995200000,1.30800000,1.38000000,1.30600000,1.38000000,69007607.50000000,1641081599999,92211737.96660000,159578,35543023.20000000,47500596.51230000,0
1641081600000,1.37900000,1.39100000,1.34200000,1.37700000,81011860.40000000,1641167999999,110645055.59020000,175248,40618946.70000000,55484105.96520000,0
1641168000000,1.37800000,1.37800000,1.31000000,1.31900000,87155825.90000000,1641254399999,117269967.57360000,191931,41893901.40000000,56358992.38130000,0
1641254400000,1.31900000,1.35200000,1.29500000,1.30900000,94479305.90000000,1641340799999,124982226.73970000,216349,46205791.40000000,61169674.58220000,0
1641340800000,1.31000000,1.35300000,1.19300000,1.23000000,158740088.20000000,1641427199999,203778648.55900000,365590,76050733.20000000,97718121.84130000,0
1641427200000,1.23000000,1.29700000,1.18600000,1.28000000,175754407.60000000,1641513599999,216590054.10710000,361052,88970774.40000000,109746849.40020000,0
1641513600000,1.27900000,1.28500000,1.18900000,1.21000000,209806013.20000000,1641599999999,256808689.23760000,412091,100722433.20000000,123355599.30050000,0
1641600000000,1.20900000,1.25400000,1.12400000,1.18100000,169730473.68000000,1641686399999,201840755.44063900,359202,82915127.24000000,98682750.22704000,0
1641686400000,1.18200000,1.20600000,1.14700000,1.17000000,114093699.40000000,1641772799999,134353467.77720000,231040,56212732.50000000,66207531.36320000,0
1641772800000,1.17000000,1.18100000,1.06900000,1.12300000,189250644.14000000,1641859199999,212884357.74931800,360425,93971795.04000000,105744216.04350000,0
1641859200000,1.12300000,1.19600000,1.12200000,1.18700000,115267098.70000000,1641945599999,133792540.39380000,241607,58035113.40000000,67379649.23430000,0
1641945600000,1.18800000,1.31400000,1.18600000,1.31200000,145608592.70000000,1642031999999,182190437.04440000,341312,76357627.30000000,95582419.29060000,0
1642032000000,1.31200000,1.35400000,1.22700000,1.23300000,179029543.60000000,1642118399999,230246441.47970000,426125,87034067.70000000,112060685.49880000,0
1642118400000,1.23200000,1.30900000,1.22000000,1.29200000,143281596.50000000,1642204799999,181243812.48150000,331155,71628205.20000000,90675497.68260000,0
1642204800000,1.29300000,1.31900000,1.25100000,1.29100000,80421836.40000000,1642291199999,103117575.31770000,191252,40074996.20000000,51399593.45780000,0
1642291200000,1.29200000,1.42200000,1.28600000,1.41000000,247977037.40000000,1642377599999,342364572.29180000,615823,124921128.80000000,172408668.98000000,0
1642377600000,1.41100000,1.60700000,1.38600000,1.60300000,545675409.10000000,1642463999999,823631436.93410000,1530274,277600950.50000000,418956785.71250000,0
1642464000000,1.60200000,1.63800000,1.41100000,1.45800000,455949108.30000000,1642550399999,689115056.27620000,1169456,220232223.70000000,332972350.33110000,0
1642550400000,1.45800000,1.53400000,1.32600000,1.33700000,329948716.40000000,1642636799999,466337970.56220000,762741,163000418.20000000,230264305.23020000,0
1642636800000,1.33600000,1.42700000,1.25100000,1.25900000,261063307.30000000,1642723199999,352149336.05050000,566966,127138111.20000000,171610208.70010000,0
1642723200000,1.25900000,1.28200000,1.10100000,1.12000000,408519522.40000000,1642809599999,489294165.13090000,780053,199683030.80000000,239040935.41380000,0
1642809600000,1.12000000,1.15500000,0.91700000,1.07100000,554287709.12000000,1642895999999,587006937.36549000,1068717,271817653.17000000,288393967.76427000,0
